sheet_number,contest_name,election_month,election_year,type,contest_id
2,President of the United States,11,2016,general,2112016
3,"United States Senator, Isakson",11,2016,general,3112016
4,"Public Service Commission, District 2 - Eastern",11,2016,general,4112016
5,"U.S. Representative, District 1",11,2016,general,5112016
6,"U.S. Representative, District 2",11,2016,general,6112016
7,"U.S. Representative, District 3",11,2016,general,7112016
8,"U.S. Representative, District 4",11,2016,general,8112016
9,"U.S. Representative, District 5",11,2016,general,9112016
10,"U.S. Representative, District 6",11,2016,general,10112016
11,"U.S. Representative, District 7",11,2016,general,11112016
12,"U.S. Representative, District 8",11,2016,general,12112016
13,"U.S. Representative, District 9",11,2016,general,13112016
14,"U.S. Representative, District 10",11,2016,general,14112016
15,"U.S. Representative, District 11",11,2016,general,15112016
16,"U.S. Representative, District 12",11,2016,general,16112016
17,"U.S. Representative, District 13",11,2016,general,17112016
18,"U.S. Representative, District 14",11,2016,general,18112016
19,"State Senator, District 1",11,2016,general,19112016
20,"State Senator, District 2",11,2016,general,20112016
21,"State Senator, District 3",11,2016,general,21112016
22,"State Senator, District 4",11,2016,general,22112016
23,"State Senator, District 5",11,2016,general,23112016
24,"State Senator, District 6",11,2016,general,24112016
25,"State Senator, District 7",11,2016,general,25112016
26,"State Senator, District 8",11,2016,general,26112016
27,"State Senator, District 9",11,2016,general,27112016
28,"State Senator, District 10",11,2016,general,28112016
29,"State Senator, District 11",11,2016,general,29112016
30,"State Senator, District 12",11,2016,general,30112016
31,"State Senator, District 13",11,2016,general,31112016
32,"State Senator, District 14",11,2016,general,32112016
33,"State Senator, District 15",11,2016,general,33112016
34,"State Senator, District 16",11,2016,general,34112016
35,"State Senator, District 17",11,2016,general,35112016
36,"State Senator, District 18",11,2016,general,36112016
37,"State Senator, District 19",11,2016,general,37112016
38,"State Senator, District 20",11,2016,general,38112016
39,"State Senator, District 21",11,2016,general,39112016
40,"State Senator, District 22",11,2016,general,40112016
41,"State Senator, District 23",11,2016,general,41112016
42,"State Senator, District 24",11,2016,general,42112016
43,"State Senator, District 25",11,2016,general,43112016
44,"State Senator, District 26",11,2016,general,44112016
45,"State Senator, District 27",11,2016,general,45112016
46,"State Senator, District 28",11,2016,general,46112016
47,"State Senator, District 29",11,2016,general,47112016
48,"State Senator, District 30",11,2016,general,48112016
49,"State Senator, District 31",11,2016,general,49112016
50,"State Senator, District 32",11,2016,general,50112016
51,"State Senator, District 33",11,2016,general,51112016
52,"State Senator, District 34",11,2016,general,52112016
53,"State Senator, District 35",11,2016,general,53112016
54,"State Senator, District 36",11,2016,general,54112016
55,"State Senator, District 37",11,2016,general,55112016
56,"State Senator, District 38",11,2016,general,56112016
57,"State Senator, District 39",11,2016,general,57112016
58,"State Senator, District 40",11,2016,general,58112016
59,"State Senator, District 41",11,2016,general,59112016
60,"State Senator, District 42",11,2016,general,60112016
61,"State Senator, District 43",11,2016,general,61112016
62,"State Senator, District 44",11,2016,general,62112016
63,"State Senator, District 45",11,2016,general,63112016
64,"State Senator, District 46",11,2016,general,64112016
65,"State Senator, District 47",11,2016,general,65112016
66,"State Senator, District 48",11,2016,general,66112016
67,"State Senator, District 49",11,2016,general,67112016
68,"State Senator, District 50",11,2016,general,68112016
69,"State Senator, District 51",11,2016,general,69112016
70,"State Senator, District 52",11,2016,general,70112016
71,"State Senator, District 53",11,2016,general,71112016
72,"State Senator, District 54",11,2016,general,72112016
73,"State Senator, District 55",11,2016,general,73112016
74,"State Senator, District 56",11,2016,general,74112016
75,"State Representative, District 1",11,2016,general,75112016
76,"State Representative, District 2",11,2016,general,76112016
77,"State Representative, District 3",11,2016,general,77112016
78,"State Representative, District 4",11,2016,general,78112016
79,"State Representative, District 5",11,2016,general,79112016
80,"State Representative, District 6",11,2016,general,80112016
81,"State Representative, District 7",11,2016,general,81112016
82,"State Representative, District 8",11,2016,general,82112016
83,"State Representative, District 9",11,2016,general,83112016
84,"State Representative, District 10",11,2016,general,84112016
85,"State Representative, District 11",11,2016,general,85112016
86,"State Representative, District 12",11,2016,general,86112016
87,"State Representative, District 13",11,2016,general,87112016
88,"State Representative, District 14",11,2016,general,88112016
89,"State Representative, District 15",11,2016,general,89112016
90,"State Representative, District 16",11,2016,general,90112016
91,"State Representative, District 17",11,2016,general,91112016
92,"State Representative, District 18",11,2016,general,92112016
93,"State Representative, District 19",11,2016,general,93112016
94,"State Representative, District 20",11,2016,general,94112016
95,"State Representative, District 21",11,2016,general,95112016
96,"State Representative, District 22",11,2016,general,96112016
97,"State Representative, District 23",11,2016,general,97112016
98,"State Representative, District 24",11,2016,general,98112016
99,"State Representative, District 25",11,2016,general,99112016
100,"State Representative, District 26",11,2016,general,100112016
101,"State Representative, District 27",11,2016,general,101112016
102,"State Representative, District 28",11,2016,general,102112016
103,"State Representative, District 29",11,2016,general,103112016
104,"State Representative, District 30",11,2016,general,104112016
105,"State Representative, District 31",11,2016,general,105112016
106,"State Representative, District 32",11,2016,general,106112016
107,"State Representative, District 33",11,2016,general,107112016
108,"State Representative, District 34",11,2016,general,108112016
109,"State Representative, District 35",11,2016,general,109112016
110,"State Representative, District 36",11,2016,general,110112016
111,"State Representative, District 37",11,2016,general,111112016
112,"State Representative, District 38",11,2016,general,112112016
113,"State Representative, District 39",11,2016,general,113112016
114,"State Representative, District 40",11,2016,general,114112016
115,"State Representative, District 41",11,2016,general,115112016
116,"State Representative, District 42",11,2016,general,116112016
117,"State Representative, District 43",11,2016,general,117112016
118,"State Representative, District 44",11,2016,general,118112016
119,"State Representative, District 45",11,2016,general,119112016
120,"State Representative, District 46",11,2016,general,120112016
121,"State Representative, District 47",11,2016,general,121112016
122,"State Representative, District 48",11,2016,general,122112016
123,"State Representative, District 49",11,2016,general,123112016
124,"State Representative, District 50",11,2016,general,124112016
125,"State Representative, District 51",11,2016,general,125112016
126,"State Representative, District 52",11,2016,general,126112016
127,"State Representative, District 53",11,2016,general,127112016
128,"State Representative, District 54",11,2016,general,128112016
129,"State Representative, District 55",11,2016,general,129112016
130,"State Representative, District 56",11,2016,general,130112016
131,"State Representative, District 57",11,2016,general,131112016
132,"State Representative, District 58",11,2016,general,132112016
133,"State Representative, District 59",11,2016,general,133112016
134,"State Representative, District 60",11,2016,general,134112016
135,"State Representative, District 61",11,2016,general,135112016
136,"State Representative, District 62",11,2016,general,136112016
137,"State Representative, District 63",11,2016,general,137112016
138,"State Representative, District 64",11,2016,general,138112016
139,"State Representative, District 65",11,2016,general,139112016
140,"State Representative, District 66",11,2016,general,140112016
141,"State Representative, District 67",11,2016,general,141112016
142,"State Representative, District 68",11,2016,general,142112016
143,"State Representative, District 69",11,2016,general,143112016
144,"State Representative, District 70",11,2016,general,144112016
145,"State Representative, District 71",11,2016,general,145112016
146,"State Representative, District 72",11,2016,general,146112016
147,"State Representative, District 73",11,2016,general,147112016
148,"State Representative, District 74",11,2016,general,148112016
149,"State Representative, District 75",11,2016,general,149112016
150,"State Representative, District 76",11,2016,general,150112016
151,"State Representative, District 77",11,2016,general,151112016
152,"State Representative, District 78",11,2016,general,152112016
153,"State Representative, District 79",11,2016,general,153112016
154,"State Representative, District 80",11,2016,general,154112016
155,"State Representative, District 81",11,2016,general,155112016
156,"State Representative, District 82",11,2016,general,156112016
157,"State Representative, District 83",11,2016,general,157112016
158,"State Representative, District 84",11,2016,general,158112016
159,"State Representative, District 85",11,2016,general,159112016
160,"State Representative, District 86",11,2016,general,160112016
161,"State Representative, District 87",11,2016,general,161112016
162,"State Representative, District 88",11,2016,general,162112016
163,"State Representative, District 89",11,2016,general,163112016
164,"State Representative, District 90",11,2016,general,164112016
165,"State Representative, District 91",11,2016,general,165112016
166,"State Representative, District 92",11,2016,general,166112016
167,"State Representative, District 93",11,2016,general,167112016
168,"State Representative, District 94",11,2016,general,168112016
169,"State Representative, District 95",11,2016,general,169112016
170,"State Representative, District 96",11,2016,general,170112016
171,"State Representative, District 97",11,2016,general,171112016
172,"State Representative, District 98",11,2016,general,172112016
173,"State Representative, District 99",11,2016,general,173112016
174,"State Representative, District 100",11,2016,general,174112016
175,"State Representative, District 101",11,2016,general,175112016
176,"State Representative, District 102",11,2016,general,176112016
177,"State Representative, District 103",11,2016,general,177112016
178,"State Representative, District 104",11,2016,general,178112016
179,"State Representative, District 105",11,2016,general,179112016
180,"State Representative, District 106",11,2016,general,180112016
181,"State Representative, District 107",11,2016,general,181112016
182,"State Representative, District 108",11,2016,general,182112016
183,"State Representative, District 109",11,2016,general,183112016
184,"State Representative, District 110",11,2016,general,184112016
185,"State Representative, District 111",11,2016,general,185112016
186,"State Representative, District 112",11,2016,general,186112016
187,"State Representative, District 113",11,2016,general,187112016
188,"State Representative, District 114",11,2016,general,188112016
189,"State Representative, District 115",11,2016,general,189112016
190,"State Representative, District 116",11,2016,general,190112016
191,"State Representative, District 117",11,2016,general,191112016
192,"State Representative, District 118",11,2016,general,192112016
193,"State Representative, District 119",11,2016,general,193112016
194,"State Representative, District 120",11,2016,general,194112016
195,"State Representative, District 121",11,2016,general,195112016
196,"State Representative, District 122",11,2016,general,196112016
197,"State Representative, District 123",11,2016,general,197112016
198,"State Representative, District 124",11,2016,general,198112016
199,"State Representative, District 125",11,2016,general,199112016
200,"State Representative, District 126",11,2016,general,200112016
201,"State Representative, District 127",11,2016,general,201112016
202,"State Representative, District 128",11,2016,general,202112016
203,"State Representative, District 129",11,2016,general,203112016
204,"State Representative, District 130",11,2016,general,204112016
205,"State Representative, District 131",11,2016,general,205112016
206,"State Representative, District 132",11,2016,general,206112016
207,"State Representative, District 133",11,2016,general,207112016
208,"State Representative, District 134",11,2016,general,208112016
209,"State Representative, District 135",11,2016,general,209112016
210,"State Representative, District 136",11,2016,general,210112016
211,"State Representative, District 137",11,2016,general,211112016
212,"State Representative, District 138",11,2016,general,212112016
213,"State Representative, District 139",11,2016,general,213112016
214,"State Representative, District 140",11,2016,general,214112016
215,"State Representative, District 141",11,2016,general,215112016
216,"State Representative, District 142",11,2016,general,216112016
217,"State Representative, District 143",11,2016,general,217112016
218,"State Representative, District 144",11,2016,general,218112016
219,"State Representative, District 145",11,2016,general,219112016
220,"State Representative, District 146",11,2016,general,220112016
221,"State Representative, District 147",11,2016,general,221112016
222,"State Representative, District 148",11,2016,general,222112016
223,"State Representative, District 149",11,2016,general,223112016
224,"State Representative, District 150",11,2016,general,224112016
225,"State Representative, District 151",11,2016,general,225112016
226,"State Representative, District 152",11,2016,general,226112016
227,"State Representative, District 153",11,2016,general,227112016
228,"State Representative, District 154",11,2016,general,228112016
229,"State Representative, District 155",11,2016,general,229112016
230,"State Representative, District 156",11,2016,general,230112016
231,"State Representative, District 157",11,2016,general,231112016
232,"State Representative, District 158",11,2016,general,232112016
233,"State Representative, District 159",11,2016,general,233112016
234,"State Representative, District 160",11,2016,general,234112016
235,"State Representative, District 161",11,2016,general,235112016
236,"State Representative, District 162",11,2016,general,236112016
237,"State Representative, District 163",11,2016,general,237112016
238,"State Representative, District 164",11,2016,general,238112016
239,"State Representative, District 165",11,2016,general,239112016
240,"State Representative, District 166",11,2016,general,240112016
241,"State Representative, District 167",11,2016,general,241112016
242,"State Representative, District 168",11,2016,general,242112016
243,"State Representative, District 169",11,2016,general,243112016
244,"State Representative, District 170",11,2016,general,244112016
245,"State Representative, District 171",11,2016,general,245112016
246,"State Representative, District 172",11,2016,general,246112016
247,"State Representative, District 173",11,2016,general,247112016
248,"State Representative, District 174",11,2016,general,248112016
249,"State Representative, District 175",11,2016,general,249112016
250,"State Representative, District 176",11,2016,general,250112016
251,"State Representative, District 177",11,2016,general,251112016
252,"State Representative, District 178",11,2016,general,252112016
253,"State Representative, District 179",11,2016,general,253112016
254,"State Representative, District 180",11,2016,general,254112016
255,"District Attorney, Alapaha Circuit",11,2016,general,255112016
256,"District Attorney, Alcovy Circuit",11,2016,general,256112016
257,"District Attorney, Appalachian Circuit",11,2016,general,257112016
258,"District Attorney, Atlanta Circuit",11,2016,general,258112016
259,"District Attorney, Augusta Circuit",11,2016,general,259112016
260,"District Attorney, Blue Ridge Circuit",11,2016,general,260112016
261,"District Attorney, Brunswick Circuit",11,2016,general,261112016
262,"District Attorney, Chattahoochee Circuit",11,2016,general,262112016
263,"District Attorney, Cherokee Circuit",11,2016,general,263112016
264,"District Attorney, Clayton Circuit",11,2016,general,264112016
265,"District Attorney, Cobb Circuit",11,2016,general,265112016
266,"District Attorney, Conasauga Circuit",11,2016,general,266112016
267,"District Attorney, Cordele Circuit",11,2016,general,267112016
268,"District Attorney, Coweta Circuit",11,2016,general,268112016
269,"District Attorney, Dougherty Circuit",11,2016,general,269112016
270,"District Attorney, Dublin Circuit",11,2016,general,270112016
271,"District Attorney, Eastern Circuit",11,2016,general,271112016
272,"District Attorney, Flint Circuit",11,2016,general,272112016
273,"District Attorney, Griffin Circuit",11,2016,general,273112016
274,"District Attorney, Gwinnett Circuit",11,2016,general,274112016
275,"District Attorney, Houston Circuit",11,2016,general,275112016
276,"District Attorney, Lookout Mountain Circuit",11,2016,general,276112016
277,"District Attorney, Macon Circuit",11,2016,general,277112016
278,"District Attorney, Middle Circuit",11,2016,general,278112016
279,"District Attorney, Mountain Circuit",11,2016,general,279112016
280,"District Attorney, Northern Circuit",11,2016,general,280112016
281,"District Attorney, Ocmulgee Circuit",11,2016,general,281112016
282,"District Attorney, Oconee Circuit",11,2016,general,282112016
283,"District Attorney, Ogeechee Circuit",11,2016,general,283112016
284,"District Attorney, Pataula Circuit",11,2016,general,284112016
285,"District Attorney, Piedmont Circuit",11,2016,general,285112016
286,"District Attorney, Rome Circuit",11,2016,general,286112016
287,"District Attorney, South Georgia Circuit",11,2016,general,287112016
288,"District Attorney, Southern Circuit",11,2016,general,288112016
289,"District Attorney, Southwestern Circuit",11,2016,general,289112016
290,"District Attorney, Stone Mountain Circuit",11,2016,general,290112016
291,"District Attorney, Tallapoosa Circuit",11,2016,general,291112016
292,"District Attorney, Tifton Circuit",11,2016,general,292112016
293,"District Attorney, Toombs Circuit",11,2016,general,293112016
294,"District Attorney, Western Circuit",11,2016,general,294112016
295,"District Attorney, Bell Forsyth Circuit",11,2016,general,295112016
296,"District Attorney, Towaliga Circuit",11,2016,general,296112016
297,Constitutional Amendment #1<br>Provides greater flexibility and state accountability to fix failing schools through increasing community involvement.,11,2016,general,297112016
298,Constitutional Amendment #2<br>Authorizes penalties for sexual exploitation and assessments on adult entertainment to fund child victims' services.,11,2016,general,298112016
299,"Constitutional Amendment #3<br>Reforms and re-establishes the Judicial Qualifications Commission and provides for its composition, governance, and powers.",11,2016,general,299112016
300,"Constitutional Amendment #4<br>Dedicates revenue from existing taxes on fireworks to trauma care, fire services, and public safety.",11,2016,general,300112016
